source_id,kind,auc,panel_size,panel_dist_chars,pop_cognitively_unimpaired,pop_impaired_or_mixed,end_amyloid_status,end_clinical_diagnosis,end_cognitive_decline,plat_somascan,plat_olink,plat_nulisa,plat_simoa,plat_lumipulse,plat_elecsys,plat_msd,plat_mass_spec,population,endpoint,broad_platform,targeted_platform
10.1002/dad2.70321,abstract,0.78,,,True,True,False,False,False,False,False,False,False,False,False,False,False,mixed,unspecified,False,False
10.1186/s13024-025-00909-x,abstract,0.81,81.0,671.0,True,True,True,True,False,False,False,True,False,False,False,False,False,mixed,amyloid_status,True,False
10.1186/s13024-026-00941-5,abstract,0.94,,,True,False,True,False,False,False,False,True,False,True,False,False,False,CU_only,amyloid_status,True,True
10.1186/s13024-026-00941-5,abstract,0.879,,,True,False,True,False,False,False,False,True,False,True,False,False,False,CU_only,amyloid_status,True,True
10.1186/s13024-026-00941-5,abstract,0.907,,,True,False,True,False,False,False,False,True,False,True,False,False,False,CU_only,amyloid_status,True,True
10.1186/s13024-026-00941-5,abstract,0.838,,,True,False,True,False,False,False,False,True,False,True,False,False,False,CU_only,amyloid_status,True,True
10.1186/s13024-026-00941-5,abstract,0.92,,,True,False,True,False,False,False,False,True,False,True,False,False,False,CU_only,amyloid_status,True,True
10.1186/s13024-026-00941-5,abstract,0.92,,,True,False,True,False,False,False,False,True,False,True,False,False,False,CU_only,amyloid_status,True,True
10.1186/s13024-026-00941-5,abstract,0.861,,,True,False,True,False,False,False,False,True,False,True,False,False,False,CU_only,amyloid_status,True,True
10.1186/s13024-026-00941-5,abstract,0.763,,,True,False,True,False,False,False,False,True,False,True,False,False,False,CU_only,amyloid_status,True,True
10.64898/2026.06.01.26354584,abstract,0.787,,,False,True,True,True,True,False,False,False,False,False,False,False,False,impaired_or_unspecified,amyloid_status,False,False
10.64898/2026.06.01.26354584,abstract,0.796,,,False,True,True,True,True,False,False,False,False,False,False,False,False,impaired_or_unspecified,amyloid_status,False,False
10.64898/2026.06.01.26354584,abstract,0.89,,,False,True,True,True,True,False,False,False,False,False,False,False,False,impaired_or_unspecified,amyloid_status,False,False
10.64898/2026.06.01.26354584,abstract,0.749,,,False,True,True,True,True,False,False,False,False,False,False,False,False,impaired_or_unspecified,amyloid_status,False,False
10.64898/2026.06.01.26354584,abstract,0.798,,,False,True,True,True,True,False,False,False,False,False,False,False,False,impaired_or_unspecified,amyloid_status,False,False
10.64898/2026.04.14.26350885,abstract,0.9,8.0,410.0,False,False,True,True,False,False,False,False,False,True,False,False,False,impaired_or_unspecified,amyloid_status,False,True
10.21203/rs.3.rs-6440485/v1,abstract,0.81,8.0,429.0,True,True,True,True,False,False,False,True,False,False,False,False,False,mixed,amyloid_status,True,False
10.21203/rs.3.rs-6440485/v1,abstract,0.95,8.0,583.0,True,True,True,True,False,False,False,True,False,False,False,False,False,mixed,amyloid_status,True,False
10.1186/s13195-026-02080-x,abstract,0.85,,,True,False,True,False,False,False,False,False,False,False,False,False,False,CU_only,amyloid_status,False,False
10.1186/s13195-026-02080-x,abstract,0.87,,,True,False,True,False,False,False,False,False,False,False,False,False,False,CU_only,amyloid_status,False,False
10.1038/s41531-026-01341-8,abstract,0.92,,,True,False,False,True,False,False,False,False,False,False,False,False,False,CU_only,clinical_diagnosis,False,False
10.1002/dad2.70215,abstract,0.92,,,False,True,True,True,False,False,False,False,False,False,False,False,False,impaired_or_unspecified,amyloid_status,False,False
10.1001/jamaneurol.2026.1405,abstract,0.96,,,True,True,True,True,False,False,False,False,False,False,False,False,False,mixed,amyloid_status,False,False
10.2174/0115672050271523231111192725,abstract,0.833,,,True,False,True,True,False,False,False,False,True,False,False,False,False,CU_only,amyloid_status,False,True
10.2174/0115672050271523231111192725,abstract,0.908,,,True,False,True,True,False,False,False,False,True,False,False,False,False,CU_only,amyloid_status,False,True
10.1186/s13195-025-01778-8,abstract,0.937,,,True,True,False,True,False,False,False,False,True,False,False,False,False,mixed,clinical_diagnosis,False,True
10.1186/s13195-025-01778-8,abstract,0.968,,,True,True,False,True,False,False,False,False,True,False,False,False,False,mixed,clinical_diagnosis,False,True
10.1002/alz.71253,abstract,0.865,,,True,False,False,True,True,False,False,False,False,False,False,False,False,CU_only,cognitive_decline,False,False
10.1002/alz.71253,abstract,0.699,,,True,False,False,True,True,False,False,False,False,False,False,False,False,CU_only,cognitive_decline,False,False
10.1002/alz.71253,abstract,0.769,,,True,False,False,True,True,False,False,False,False,False,False,False,False,CU_only,cognitive_decline,False,False
10.1002/alz.71253,abstract,0.801,,,True,False,False,True,True,False,False,False,False,False,False,False,False,CU_only,cognitive_decline,False,False
10.1002/alz.71253,abstract,0.804,,,True,False,False,True,True,False,False,False,False,False,False,False,False,CU_only,cognitive_decline,False,False
